Index	V	I	R	T_coldhead	T_sample
0.000	0.026	0.010	2.565	4.390	4.389
1.000	0.026	0.010	2.562	4.390	4.389
2.000	0.026	0.010	2.565	4.391	4.390
3.000	0.026	0.010	2.566	4.393	4.392
4.000	0.026	0.010	2.566	4.396	4.395
5.000	0.026	0.010	2.568	4.401	4.400
6.000	0.026	0.010	2.565	4.408	4.407
7.000	0.026	0.010	2.567	4.417	4.417
8.000	0.026	0.010	2.569	4.430	4.430
9.000	0.026	0.010	2.572	4.446	4.446
10.000	0.026	0.010	2.572	4.465	4.465
11.000	0.026	0.010	2.572	4.487	4.488
12.000	0.026	0.010	2.572	4.511	4.513
13.000	0.026	0.010	2.568	4.538	4.540
14.000	0.026	0.010	2.570	4.568	4.570
15.000	0.026	0.010	2.570	4.600	4.603
16.000	0.026	0.010	2.563	4.635	4.637
17.000	0.026	0.010	2.571	4.671	4.674
18.000	0.026	0.010	2.562	4.710	4.713
19.000	0.026	0.010	2.567	4.752	4.755
20.000	0.026	0.010	2.567	4.795	4.798
21.000	0.026	0.010	2.567	4.839	4.842
22.000	0.026	0.010	2.569	4.884	4.887
23.000	0.026	0.010	2.568	4.929	4.932
24.000	0.026	0.010	2.567	4.975	4.979
25.000	0.026	0.010	2.561	5.025	5.029
26.000	0.026	0.010	2.570	5.076	5.080
27.000	0.026	0.010	2.568	5.127	5.127
28.000	0.026	0.010	2.569	5.177	5.181
29.000	0.026	0.010	2.574	5.227	5.231
30.000	0.026	0.010	2.571	5.277	5.277
31.000	0.026	0.010	2.571	5.330	5.334
32.000	0.026	0.010	2.570	5.382	5.382
33.000	0.026	0.010	2.572	5.434	5.434
34.000	0.026	0.010	2.566	5.484	5.488
35.000	0.026	0.010	2.571	5.534	5.537
36.000	0.026	0.010	2.576	5.583	5.586
37.000	0.026	0.010	2.574	5.634	5.638
38.000	0.026	0.010	2.576	5.684	5.687
39.000	0.026	0.010	2.576	5.733	5.737
40.000	0.026	0.010	2.574	5.781	5.784
41.000	0.026	0.010	2.572	5.828	5.828
42.000	0.026	0.010	2.570	5.873	5.876
43.000	0.026	0.010	2.567	5.919	5.922
44.000	0.026	0.010	2.575	5.965	5.965
45.000	0.026	0.010	2.576	6.010	6.010
46.000	0.026	0.010	2.571	6.054	6.054
47.000	0.026	0.010	2.571	6.097	6.097
48.000	0.026	0.010	2.574	6.138	6.138
49.000	0.026	0.010	2.577	6.178	6.178
50.000	0.026	0.010	2.576	6.217	6.217
51.000	0.026	0.010	2.571	6.255	6.255
52.000	0.026	0.010	2.575	6.294	6.294
53.000	0.026	0.010	2.576	6.332	6.332
54.000	0.026	0.010	2.576	6.369	6.369
55.000	0.026	0.010	2.578	6.404	6.404
56.000	0.026	0.010	2.571	6.438	6.438
57.000	0.026	0.010	2.575	6.471	6.471
58.000	0.026	0.010	2.574	6.503	6.503
59.000	0.026	0.010	2.573	6.534	6.534
60.000	0.026	0.010	2.577	6.563	6.563
61.000	0.026	0.010	2.579	6.592	6.592
62.000	0.026	0.010	2.576	6.621	6.621
63.000	0.026	0.010	2.574	6.649	6.649
64.000	0.026	0.010	2.575	6.677	6.677
65.000	0.026	0.010	2.578	6.703	6.703
66.000	0.026	0.010	2.582	6.729	6.729
67.000	0.026	0.010	2.580	6.754	6.754
68.000	0.026	0.010	2.581	6.779	6.779
69.000	0.026	0.010	2.579	6.802	6.802
70.000	0.026	0.010	2.586	6.826	6.826
71.000	0.026	0.010	2.579	6.849	6.849
72.000	0.026	0.010	2.586	6.873	6.873
73.000	0.026	0.010	2.586	6.897	6.897
74.000	0.026	0.010	2.588	6.922	6.922
75.000	0.026	0.010	2.585	6.947	6.947
76.000	0.026	0.010	2.588	6.974	6.974
77.000	0.026	0.010	2.596	7.001	7.001
78.000	0.027	0.010	2.684	7.028	7.028
79.000	0.029	0.010	2.884	7.054	7.054
80.000	0.032	0.010	3.247	7.081	7.081
81.000	0.057	0.010	5.708	7.107	7.107
82.000	0.072	0.010	7.230	7.133	7.133
83.000	0.076	0.010	7.630	7.159	7.159
84.000	0.078	0.010	7.840	7.184	7.184
85.000	0.080	0.010	7.968	7.209	7.209
86.000	0.081	0.010	8.104	7.234	7.234
87.000	0.082	0.010	8.216	7.258	7.258
88.000	0.083	0.010	8.287	7.282	7.282
89.000	0.084	0.010	8.370	7.306	7.306
90.000	0.088	0.010	8.764	7.330	7.330
91.000	0.088	0.010	8.826	7.353	7.353
92.000	0.089	0.010	8.889	7.377	7.377
93.000	0.089	0.010	8.942	7.400	7.400
94.000	0.090	0.010	9.018	7.423	7.423
95.000	0.091	0.010	9.068	7.444	7.444
96.000	0.091	0.010	9.118	7.466	7.466
97.000	0.092	0.010	9.169	7.487	7.487
98.000	0.092	0.010	9.201	7.508	7.508
99.000	0.093	0.010	9.257	7.528	7.528
100.000	0.093	0.010	9.310	7.548	7.548
101.000	0.093	0.010	9.348	7.567	7.567
102.000	0.094	0.010	9.391	7.586	7.586
103.000	0.094	0.010	9.421	7.604	7.604
104.000	0.095	0.010	9.454	7.622	7.622
105.000	0.095	0.010	9.480	7.639	7.639
106.000	0.095	0.010	9.508	7.656	7.656
107.000	0.095	0.010	9.520	7.674	7.674
108.000	0.095	0.010	9.536	7.691	7.691
109.000	0.096	0.010	9.555	7.707	7.707
110.000	0.096	0.010	9.558	7.723	7.723
111.000	0.096	0.010	9.586	7.739	7.739
