Index	V	I	R	T_coldhead	T_sample
0.000	0.092	0.010	9.154	6.805	9.347
1.000	0.092	0.010	9.151	6.805	9.346
2.000	0.091	0.010	9.142	6.803	9.346
3.000	0.091	0.010	9.140	6.803	9.344
4.000	0.091	0.010	9.126	6.801	9.344
5.000	0.091	0.010	9.124	6.801	9.342
6.000	0.091	0.010	9.107	6.798	9.342
7.000	0.091	0.010	9.106	6.798	9.340
8.000	0.091	0.010	9.123	6.793	9.340
9.000	0.091	0.010	9.113	6.793	9.337
10.000	0.091	0.010	9.097	6.788	9.337
11.000	0.091	0.010	9.101	6.788	9.335
12.000	0.091	0.010	9.098	6.783	9.335
13.000	0.091	0.010	9.083	6.778	9.332
14.000	0.091	0.010	9.062	6.778	9.332
15.000	0.091	0.010	9.071	6.772	9.330
16.000	0.091	0.010	9.065	6.772	9.330
17.000	0.090	0.010	9.048	6.766	9.327
18.000	0.091	0.010	9.058	6.766	9.327
19.000	0.090	0.010	9.048	6.764	9.325
20.000	0.090	0.010	9.047	6.764	9.325
21.000	0.090	0.010	9.050	6.764	9.324
22.000	0.091	0.010	9.061	6.764	9.324
23.000	0.091	0.010	9.053	6.764	9.322
24.000	0.090	0.010	9.038	6.764	9.322
25.000	0.090	0.010	9.021	6.763	9.318
26.000	0.090	0.010	9.033	6.763	9.318
27.000	0.090	0.010	9.029	6.760	9.315
28.000	0.090	0.010	9.023	6.760	9.315
29.000	0.090	0.010	9.011	6.758	9.312
30.000	0.090	0.010	8.998	6.758	9.312
31.000	0.090	0.010	9.004	6.755	9.308
32.000	0.090	0.010	8.994	6.755	9.308
33.000	0.090	0.010	8.982	6.753	9.306
34.000	0.090	0.010	8.974	6.753	9.303
35.000	0.090	0.010	8.987	6.750	9.303
36.000	0.090	0.010	8.965	6.750	9.300
37.000	0.090	0.010	8.984	6.747	9.300
38.000	0.090	0.010	8.983	6.747	9.298
39.000	0.090	0.010	8.958	6.747	9.298
40.000	0.090	0.010	8.963	6.747	9.295
41.000	0.090	0.010	8.963	6.750	9.295
42.000	0.090	0.010	8.960	6.750	9.291
43.000	0.090	0.010	8.944	6.753	9.291
44.000	0.090	0.010	8.961	6.753	9.288
45.000	0.090	0.010	8.964	6.754	9.288
46.000	0.090	0.010	8.953	6.754	9.284
47.000	0.090	0.010	8.947	6.754	9.284
48.000	0.089	0.010	8.943	6.754	9.280
49.000	0.090	0.010	8.950	6.754	9.280
50.000	0.089	0.010	8.949	6.754	9.275
51.000	0.089	0.010	8.953	6.754	9.275
52.000	0.089	0.010	8.939	6.754	9.271
53.000	0.089	0.010	8.925	6.755	9.271
54.000	0.089	0.010	8.944	6.755	9.268
55.000	0.089	0.010	8.938	6.754	9.268
56.000	0.089	0.010	8.956	6.754	9.265
57.000	0.089	0.010	8.935	6.754	9.265
58.000	0.089	0.010	8.939	6.757	9.261
59.000	0.089	0.010	8.942	6.757	9.261
60.000	0.089	0.010	8.932	6.763	9.258
61.000	0.089	0.010	8.944	6.763	9.258
62.000	0.089	0.010	8.934	6.768	9.253
63.000	0.089	0.010	8.938	6.768	9.253
64.000	0.089	0.010	8.934	6.771	9.249
65.000	0.089	0.010	8.924	6.771	9.249
66.000	0.089	0.010	8.926	6.774	9.244
67.000	0.089	0.010	8.924	6.774	9.244
68.000	0.089	0.010	8.922	6.776	9.239
69.000	0.089	0.010	8.937	6.776	9.239
70.000	0.089	0.010	8.925	6.779	9.234
71.000	0.089	0.010	8.922	6.779	9.229
72.000	0.089	0.010	8.922	6.782	9.229
73.000	0.089	0.010	8.921	6.782	9.225
74.000	0.089	0.010	8.931	6.784	9.225
75.000	0.089	0.010	8.927	6.784	9.220
76.000	0.089	0.010	8.925	6.787	9.220
77.000	0.089	0.010	8.927	6.787	9.217
78.000	0.089	0.010	8.926	6.792	9.217
79.000	0.089	0.010	8.938	6.792	9.213
80.000	0.089	0.010	8.945	6.800	9.213
81.000	0.090	0.010	8.953	6.800	9.208
82.000	0.090	0.010	8.955	6.808	9.208
83.000	0.089	0.010	8.948	6.813	9.203
84.000	0.089	0.010	8.949	6.813	9.203
85.000	0.089	0.010	8.946	6.818	9.198
86.000	0.090	0.010	8.964	6.818	9.198
87.000	0.090	0.010	8.967	6.823	9.193
88.000	0.090	0.010	8.965	6.823	9.193
89.000	0.090	0.010	8.969	6.828	9.188
90.000	0.090	0.010	8.971	6.828	9.188
91.000	0.090	0.010	8.964	6.833	9.184
92.000	0.090	0.010	8.962	6.833	9.184
93.000	0.090	0.010	8.970	6.838	9.180
94.000	0.090	0.010	8.958	6.838	9.180
95.000	0.090	0.010	8.968	6.843	9.176
96.000	0.090	0.010	8.969	6.843	9.176
97.000	0.090	0.010	8.976	6.851	9.172
98.000	0.090	0.010	8.968	6.851	9.172
99.000	0.090	0.010	8.994	6.861	9.168
100.000	0.090	0.010	8.988	6.861	9.168
101.000	0.090	0.010	8.989	6.870	9.163
102.000	0.090	0.010	8.990	6.870	9.158
103.000	0.090	0.010	8.985	6.877	9.158
104.000	0.090	0.010	8.993	6.877	9.153
105.000	0.090	0.010	9.016	6.884	9.153
106.000	0.090	0.010	9.016	6.884	9.148
107.000	0.090	0.010	9.027	6.891	9.148
108.000	0.090	0.010	9.021	6.891	9.143
109.000	0.090	0.010	9.029	6.899	9.143
110.000	0.090	0.010	9.031	6.899	9.138
111.000	0.090	0.010	9.028	6.906	9.138
112.000	0.090	0.010	9.027	6.906	9.133
113.000	0.090	0.010	9.032	6.913	9.133
114.000	0.090	0.010	9.030	6.913	9.129
115.000	0.090	0.010	9.038	6.920	9.129
116.000	0.090	0.010	9.045	6.929	9.125
117.000	0.090	0.010	9.048	6.929	9.125
118.000	0.090	0.010	9.046	6.941	9.121
119.000	0.091	0.010	9.055	6.941	9.121
120.000	0.091	0.010	9.063	6.952	9.116
121.000	0.091	0.010	9.062	6.952	9.116
122.000	0.091	0.010	9.073	6.962	9.111
123.000	0.091	0.010	9.078	6.962	9.111
124.000	0.091	0.010	9.081	6.971	9.106
125.000	0.091	0.010	9.097	6.971	9.106
126.000	0.091	0.010	9.112	6.981	9.101
127.000	0.091	0.010	9.095	6.981	9.101
128.000	0.091	0.010	9.109	6.991	9.097
129.000	0.091	0.010	9.111	6.991	9.097
130.000	0.091	0.010	9.125	7.001	9.092
131.000	0.091	0.010	9.122	7.001	9.092
132.000	0.091	0.010	9.125	7.010	9.088
133.000	0.091	0.010	9.142	7.010	9.088
134.000	0.091	0.010	9.147	7.020	9.085
135.000	0.091	0.010	9.144	7.020	9.085
136.000	0.092	0.010	9.154	7.032	9.082
137.000	0.092	0.010	9.163	7.032	9.082
138.000	0.092	0.010	9.170	7.046	9.078
139.000	0.092	0.010	9.166	7.046	9.078
140.000	0.092	0.010	9.180	7.060	9.075
141.000	0.092	0.010	9.188	7.060	9.075
142.000	0.092	0.010	9.195	7.072	9.072
143.000	0.092	0.010	9.198	7.072	9.072
144.000	0.092	0.010	9.206	7.083	9.067
145.000	0.092	0.010	9.202	7.083	9.067
146.000	0.092	0.010	9.202	7.095	9.063
147.000	0.092	0.010	9.220	7.095	9.063
148.000	0.092	0.010	9.225	7.106	9.060
149.000	0.092	0.010	9.235	7.106	9.060
150.000	0.092	0.010	9.237	7.118	9.057
151.000	0.092	0.010	9.244	7.118	9.057
152.000	0.092	0.010	9.241	7.129	9.053
153.000	0.093	0.010	9.251	7.129	9.053
154.000	0.093	0.010	9.259	7.140	9.051
155.000	0.093	0.010	9.265	7.140	9.051
156.000	0.093	0.010	9.272	7.154	9.048
157.000	0.093	0.010	9.299	7.154	9.048
158.000	0.093	0.010	9.309	7.170	9.046
159.000	0.093	0.010	9.317	7.170	9.046
160.000	0.093	0.010	9.330	7.185	9.043
161.000	0.093	0.010	9.333	7.185	9.043
162.000	0.093	0.010	9.345	7.199	9.041
163.000	0.094	0.010	9.356	7.199	9.041
164.000	0.094	0.010	9.359	7.212	9.039
165.000	0.094	0.010	9.364	7.212	9.039
166.000	0.094	0.010	9.374	7.225	9.037
167.000	0.094	0.010	9.385	7.225	9.037
168.000	0.094	0.010	9.398	7.238	9.036
169.000	0.094	0.010	9.406	7.238	9.036
170.000	0.094	0.010	9.402	7.252	9.034
171.000	0.094	0.010	9.413	7.252	9.033
172.000	0.094	0.010	9.430	7.264	9.033
173.000	0.094	0.010	9.424	7.264	9.033
174.000	0.094	0.010	9.419	7.277	9.033
175.000	0.094	0.010	9.438	7.277	9.032
176.000	0.094	0.010	9.436	7.292	9.032
177.000	0.095	0.010	9.450	7.292	9.031
178.000	0.095	0.010	9.455	7.309	9.031
179.000	0.095	0.010	9.470	7.309	9.031
180.000	0.095	0.010	9.474	7.328	9.031
181.000	0.095	0.010	9.474	7.328	9.031
182.000	0.095	0.010	9.479	7.345	9.031
183.000	0.095	0.010	9.503	7.345	9.031
184.000	0.095	0.010	9.510	7.360	9.031
185.000	0.095	0.010	9.523	7.360	9.031
186.000	0.095	0.010	9.520	7.375	9.031
187.000	0.095	0.010	9.537	7.375	9.032
188.000	0.095	0.010	9.539	7.391	9.032
189.000	0.095	0.010	9.548	7.391	9.033
190.000	0.096	0.010	9.550	7.406	9.033
191.000	0.096	0.010	9.552	7.406	9.034
192.000	0.096	0.010	9.557	7.421	9.034
193.000	0.096	0.010	9.553	7.421	9.035
