Index	V	I	R	T_coldhead	T_sample
0.000	0.474	99100000000000005200000000000000000000.000	0.000	5.303	6.878
1.000	0.473	99100000000000005200000000000000000000.000	0.000	5.338	6.889
2.000	0.474	0.000	1077.268	5.380	6.900
3.000	1.700	0.000	3777.127	5.383	6.900
4.000	2.000	0.000	4650.651	5.385	6.872
5.000	2.000	0.000	4443.838	5.387	6.887
6.000	99100000000000005200000000000000000000.000	0.000	225227272727272730000000000000000000000000.000	5.388	6.897
7.000	1.193	0.000	2650.322	5.433	6.912
8.000	1.671	0.000	3797.520	5.433	6.919
9.000	99100000000000005200000000000000000000.000	0.000	225227272727272730000000000000000000000000.000	5.433	6.928
10.000	2.000	0.000	4544.918	5.490	6.928
11.000	99100000000000005200000000000000000000.000	0.000	220222222222222250000000000000000000000000.000	5.494	6.929
12.000	99100000000000005200000000000000000000.000	0.000	225227272727272730000000000000000000000000.000	5.553	6.942
13.000	99100000000000005200000000000000000000.000	0.000	220222222222222250000000000000000000000000.000	5.619	6.961
14.000	99100000000000005200000000000000000000.000	0.000	230465116279069787000000000000000000000000.000	5.692	6.981
15.000	1.679	0.000	3998.374	5.772	7.009
16.000	1.637	0.000	3806.267	5.774	7.011
17.000	1.562	0.000	3632.042	5.775	7.010
18.000	1.860	0.000	4325.370	5.776	7.019
19.000	1.296	0.000	2945.086	5.786	7.016
20.000	99100000000000005200000000000000000000.000	0.000	230465116279069787000000000000000000000000.000	5.790	7.014
21.000	2.000	0.000	4544.964	5.875	7.045
22.000	99100000000000005200000000000000000000.000	0.000	230465116279069787000000000000000000000000.000	5.878	7.066
23.000	2.000	99100000000000005200000000000000000000.000	0.000	5.974	7.082
24.000	0.473	99100000000000005200000000000000000000.000	0.000	6.071	7.125
25.000	0.474	99100000000000005200000000000000000000.000	0.000	6.174	7.176
26.000	0.474	99100000000000005200000000000000000000.000	0.000	6.257	7.232
27.000	0.473	99100000000000005200000000000000000000.000	0.000	6.250	7.295
28.000	0.477	99100000000000005200000000000000000000.000	0.000	6.188	7.356
29.000	0.474	0.000	1128.126	6.103	7.412
30.000	0.474	99100000000000005200000000000000000000.000	0.000	6.101	7.413
31.000	0.475	99100000000000005200000000000000000000.000	0.000	6.004	7.463
32.000	0.476	0.000	1107.567	5.901	7.514
33.000	0.473	0.000	984119725.629	5.897	7.529
34.000	0.477	99100000000000005200000000000000000000.000	0.000	5.887	7.532
35.000	0.478	0.000	1195.658	5.799	7.563
36.000	0.473	99100000000000005200000000000000000000.000	0.000	5.797	7.565
