Index	V	I	R	T_coldhead	T_sample
0.000	0.006	0.002	3.144	4.276	239.853
1.000	0.006	0.002	3.125	4.276	239.821
2.000	0.006	0.002	3.134	4.276	239.788
3.000	0.006	0.002	3.138	4.276	239.762
4.000	0.006	0.002	3.162	4.276	239.737
5.000	0.006	0.002	3.147	4.276	239.706
6.000	0.006	0.002	3.132	4.276	239.671
7.000	0.006	0.002	3.113	4.276	239.647
8.000	0.006	0.002	3.142	4.276	239.617
9.000	0.006	0.002	3.132	4.276	239.581
10.000	0.006	0.002	3.122	4.276	239.561
11.000	0.006	0.002	3.131	4.277	239.532
12.000	0.006	0.002	3.134	4.277	239.503
13.000	0.006	0.002	3.161	4.277	239.474
14.000	0.006	0.002	3.103	4.277	239.441
15.000	0.006	0.002	3.112	4.276	239.420
16.000	0.006	0.002	3.125	4.276	239.391
17.000	0.006	0.002	3.124	4.276	239.360
18.000	0.006	0.002	3.127	4.276	239.333
19.000	0.006	0.002	3.143	4.276	239.300
20.000	0.006	0.002	3.171	4.276	239.282
21.000	0.006	0.002	3.149	4.276	239.250
22.000	0.006	0.002	3.122	4.276	239.226
23.000	0.006	0.002	3.125	4.276	239.193
24.000	0.006	0.002	3.146	4.276	239.163
25.000	0.006	0.002	3.139	4.276	239.136
26.000	0.006	0.002	3.133	4.276	239.110
27.000	0.006	0.002	3.112	4.276	239.081
28.000	0.006	0.002	3.171	4.276	239.052
29.000	0.006	0.002	3.132	4.276	239.024
30.000	0.006	0.002	3.115	4.276	238.998
31.000	0.006	0.002	3.138	4.276	238.969
32.000	0.006	0.002	3.123	4.276	238.947
33.000	0.006	0.002	3.148	4.276	238.916
34.000	0.006	0.002	3.120	4.276	238.890
35.000	0.006	0.002	3.146	4.276	238.861
36.000	0.006	0.002	3.121	4.276	238.837
37.000	0.006	0.002	3.101	4.276	238.810
38.000	0.006	0.002	3.138	4.277	238.782
39.000	0.006	0.002	3.143	4.277	238.751
40.000	0.006	0.002	3.129	4.277	238.726
41.000	0.006	0.002	3.144	4.277	238.698
42.000	0.006	0.002	3.134	4.277	238.667
43.000	0.006	0.002	3.176	4.277	238.642
44.000	0.006	0.002	3.107	4.277	238.615
45.000	0.006	0.002	3.135	4.277	238.590
46.000	0.006	0.002	3.111	4.277	238.567
47.000	1.999	0.000	4875.193	4.277	238.542
48.000	0.006	0.002	3.120	4.277	238.516
49.000	0.006	0.002	3.139	4.277	238.488
50.000	0.006	0.002	3.141	4.277	238.457
51.000	0.006	0.002	3.167	4.277	238.431
52.000	0.006	0.002	3.128	4.277	238.353
53.000	0.006	0.002	3.107	4.277	238.329
54.000	0.006	0.002	3.164	4.277	238.292
55.000	0.006	0.002	3.161	4.277	238.270
56.000	0.006	0.002	3.153	4.277	238.232
57.000	0.006	0.002	3.136	4.277	238.229
58.000	0.006	0.002	3.160	4.277	238.193
59.000	0.006	0.002	3.166	4.277	238.160
60.000	0.006	0.002	3.183	4.277	238.138
61.000	0.006	0.002	3.150	4.277	238.102
62.000	0.006	0.002	3.136	4.277	238.093
63.000	0.006	0.002	3.179	4.277	238.067
64.000	0.006	0.002	3.183	4.277	238.038
65.000	0.006	0.002	3.163	4.277	238.039
66.000	0.006	0.002	3.145	4.277	237.984
67.000	0.006	0.002	3.138	4.277	237.959
68.000	0.006	0.002	3.147	4.277	237.936
69.000	0.006	0.002	3.159	4.277	237.913
70.000	0.006	0.002	3.179	4.277	237.876
71.000	0.006	0.002	3.129	4.277	237.856
72.000	0.006	0.002	3.118	4.277	237.837
73.000	0.006	0.002	3.176	4.277	237.804
74.000	0.006	0.002	3.167	4.277	237.797
75.000	0.006	0.002	3.166	4.277	237.758
76.000	0.006	0.002	3.138	4.277	237.749
77.000	0.006	0.002	3.174	4.277	237.699
78.000	0.006	0.002	3.141	4.277	237.672
79.000	0.006	0.002	3.143	4.277	237.665
80.000	0.006	0.002	3.134	4.277	237.617
81.000	0.006	0.002	3.136	4.277	237.600
82.000	0.006	0.002	3.144	4.277	237.576
